Город,Население в миллионах человек,,,,,,,,,,,,,,
Москва,12.380664,,,,,,,,,,,,,,
Санкт-Петербург,5.281579,,,,,,,,,,,,,,
Новосибирск,1.602915,,,,,,,,,,,,,,
Екатеринбург,1.455514,,,,,,,,,,,,,,
Нижний Новгород,1.261666,,,,,,,,,,,,,,
Казань,1.231878,,,,,,,,,,,,,,
Челябинск,1.198858,,,,,,,,,,,,,,
Омск,1.178391,,,,,,,,,,,,,,
Самара,1.169719,,,,,,,,,,,,,,
Ростов-на-Дону,1.125299,,,,,,,,,,,,,,
Уфа,1.11556,,,,,,,,,,,,,,
Красноярск,1.082933,,,,,,,,,,,,,,
Пермь,1.048005,,,,,,,,,,,,,,
Воронеж,1.039801,,,,,,,,,,,,,,
Волгоград,1.015586,,,,,,,,,,,,,,
